time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cidade,estado,regiao,latitude,longitude
2025-01-22,22.8,28.4,19.6,13.8,15.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-23,22.7,27.8,17.8,2.2,10.5,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-24,22.1,28.6,19.4,28.8,14.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-25,23.1,29.6,19.2,10.5,14.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-26,21.5,27.4,18.8,2.1,13.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-27,20.7,25.9,17.3,10.8,10.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-28,20.8,25.9,18.2,6.0,10.0,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-29,21.0,25.9,18.3,11.4,9.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-30,20.8,25.6,18.7,15.2,10.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-01-31,20.4,24.5,16.9,14.4,10.9,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-01,20.5,23.7,18.9,11.2,11.2,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-02,20.8,25.0,18.5,9.6,9.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-03,21.4,26.3,19.2,13.4,12.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-04,21.4,24.1,19.4,6.2,15.5,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-05,21.4,24.9,18.6,2.0,16.9,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-06,21.5,25.3,19.5,1.8,17.0,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-07,21.4,26.2,19.3,11.4,11.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-08,20.4,23.4,19.0,6.1,13.5,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-09,22.1,27.8,18.3,0.7,8.1,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-10,21.8,28.9,16.0,0.0,13.9,Curitiba,PR,Sul,-25.4284,-49.2733
